lbl,dflt,au,ca,sg,uk
"emailpwd updated","Email Password Updated","","","",""
"must enter email addr","You must enter your email address.","","","",""
"must enter email pwd","You must enter your email password.","","","",""
"must enter email acct","You must enter your email login.","","","",""
"must authenticate","You must authenticate with your email provider before you can send a test email.","","","",""
"sign in with email provider","Sign in with <TYPE>","","","",""
"must be signed in as this user","You must be signed into <APPNAME> as this user in order to authorize in the browser.","","","",""
"email set up","Congrats! Your email appears to be setup / working correctly.","","","",""
"email not set up","Uh oh :( \n Looks like your email settings aren't quite right. Do you have a typo in your email or password?","","","",""
"email reset cred","Are you sure you want to reset your email authorization for <TYPE> ?","","","",""
"email reset cred success","Email credentials have been reset. Please re-authorize <APPNAME> in order to send emails.","","","",""
"email reset cred fail","Error resetting email credentials","","","",""
"already granted","(Already Granted)","","","",""
"change email app","You are currently authenticated with <TYPE>.\n Changing to a different way of sending emails will erase your current authentication.\n Are you sure you want to switch to <NEWTYPE>?","","","",""
"set change","Set / Change","","","",""
"change","Change","","","",""
"dflt email txt","Default Email Text (i.e. Signature, Disclaimers, etc)","","","",""
"dflt email txt note","Note: Supports HTML. Add your own tags if you feel comfortable","","","",""
"save email signature","Save Signature","","","",""
"confirm email logo change","You currently have <LOGO> as your email logo. Are you sure you want to <ACTION> it? \n NOTE: This cannot be undone.","","","",""
"logo","Logo","","","",""
"logo link","Logo Link","","","",""
"outlook msg","Your user email is currently set to send via Outlook. That option is not avaible on the portal. Please send this email on the desktop version instead.","","","",""
"outlook hint","* Always sends from the default email in Outlook installed on computer","","","",""
"return to user settings","Returning to User Settings in","","","",""
"approve all time","Approve All Time","","","",""
"approve all time for the week for user","Approve all time for the week for: <USER>?","","","",""
"approve","Approve","","","",""
"fix ot help","We apply your overtime rules in the following order: \n\n1. Entire Day Rules (i.e. Saturday = OT)\n2. Daily Double (i.e. After 10 Hrs = Dbl)\n3. Daily OT (i.e. After 8 Hrs = OT)\n4. Nightly Rules (i.e. Between 6pm and 6am is OT)\n5. Weekly OT Rules (i.e. After 40 Hrs = OT)\n\nNote the following:\n- Once time has been moved to OT, it is never moved back to Straight time\n- Once time has been moved to Double, it is never moved back to OT or Straight time","","","",""
"how does this work","How does this work?","","","",""
"fix ot warn cur tech","Fix OT Warnings for Current Tech (<USER>) Only","","","",""
"fix ot warn all tech","Fix OT Warnings for All Techs","","","",""
"reset all time straight cur tech","Reset All Time To Straight Time For Current Tech (<USER>) Only","","","",""
"reset all time straight all tech","Reset All Time To Straight Time For All Techs","","","",""
"resetting time to str user","Resetting Time To Straight Time\n<USER>","","","",""
"fixing ot warnings user","Applying OT Rules\n<USER>","","","",""
"you have warnings ot rules are you sure","You have <WARNCNT> warnings. Warnings indicate noncompliance to defined lower(<LBLBRANCH>) overtime rules. Are you sure you want to proceed and print?","","","",""
"you have non pay checked may cause records to print you dont want are you sure","You have '<LBL>' checked. This may cause records to print that should not be used for payroll. Are you sure you want proceed and print?","","","",""
"for cur tech","For Current Tech (<USER>)","","","",""
"for all techs","For All Techs","","","",""
"time card detail report","Time Card Detail Report","","","",""
"time card summary report","Time Card Summary Report","","","",""
"payroll detail report","Payroll Detail Report","","","",""
"payroll summary report","Payroll Summary Report","","","",""
"no records to print","No records to print.","","","",""
"no records to export","No records to export.","","","",""
"all techs","All Techs","","","",""
"generating report","Generating Report","","","",""
"techs not printed not time found for date range","<CNT> technicians were not printed. No time found for date range.","","","",""
"fix ot warn","Fix OT Warnings","","","",""
"cur tech","Current Tech (<USER>)","","","",""
"reset all time straight","Reset All Time To Straight Time","","","",""
"help","Help","","","",""
"detecting warnings...","Detecting Warnings...","","","",""
"show warnings in tech list","Show Warnings In Tech List","","","",""
"generating file","Generating File","","","",""
"default","Default","","","",""
"standard exports","Standard Exports","","","",""
"excel time card file - full","Excel Time Card File - Full","","","",""
"excel time card file - simple","Excel Time Card File - Simple","","","",""
"excel time card file - total only","Excel Time Card File - Total Only","","","",""
"excel payroll file - full","Excel Payroll File - Full","","","",""
"excel payroll file - simple","Excel Payroll File - Simple","","","",""
"excel payroll file - simple (with category)","Excel Payroll File - Simple (with Category)","","","",""
"excel payroll file - location","Excel Payroll File - Location","","","",""
"update","Update","","","",""
"not this time","Not This Time","","","",""
"different export file update to","This is a different file export than you normally use. Would you like to switch your default file export to be: <DESC>?","","","",""
"quick add","Quick Add","","","",""
"pre pay cc","Prepay with CC After Save","","","",""
"pre auth cc","Pre-Auth. CC After Save","","","",""
"site contact same as ordered","Site Contact Same As Ordered By","","","",""
"clear contact","Clear Contact","","","",""
"add more tasks","Add More \n Tasks","","","",""
"cont full job view","Continue \n In Full \n Job View","","","",""
"addl tech","Addt'l Tech","","","",""
"forecast","Forecast","","","",""
"confirm job full view","Switching to full view will save the job. Are you sure you want to continue?","","","",""
"to do","To Do","","","",""
"start typing","Start Typing...","","","",""
"task name required","Taskname is required","","","",""
"must specify start time for wo","Must specify start time for WO","","","",""
"user preferences","User Preferences","","","",""
"auto flag jobs entered","Auto Flag All Jobs Entered As Reviewed","","","",""
"job add mode","Job Add Mode","","","",""
"job full view","Full Job View","","","",""
"confirm job full view","Continuing in Full Job View will save the job and all the details. Are you sure you want to continue?","","","",""
"job quick add","Job Quick Add","","","",""
"must select a tech before veh pick","Must select a Lead Tech before picking vehicle or set it to "Unassigned"","","","",""
"tentative start dt","Tent. Start Dt","","","",""
"view contact info","View Contact Info","","","",""
"electronic payments","Electronic Payments","","","",""
"accept electronic payments in app","Accept Electronic Payments In <APPNAME>","","","",""
"merchant","Merchant","","","",""
"stripe branch desc","<APPNAME> has integrated in with Stripe to allow direct payment processing in <APPNAME>.\n\nIn order to process payments in <APPNAME>, you must have a Stripe account. This is a free setup with no monthly minimum requirements or charges. What are you waiting for? Just do it already ;)\n\nPlease Create a Stripe account (if you don't already have one) and then authorize <APPNAME> to talk to Stripe.","","","",""
"clover branch desc","<APPNAME> has integrated in with Clover Connect to allow direct payment processing in <APPNAME>.\n\nIn order to process payments in <APPNAME>, you must have a Clover Connect account. This is a free setup with no monthly minimum requirements or charges. What are you waiting for? Just do it already ;)\n\nPlease Create a Clover Connect account (if you don't already have one) and then enter your merchant Id and api credentials from the email they send you (generally 48 hours after you create your account).\n\nNOTE: Clover Connect is the integrated payments division of Fiserv, and CardPointe is their payment gateway. You may receive emails from any of them interchangeably.","","","",""
