lbl,dflt,la
"contract","Contrato",""
"wo qty remaining","Cantidad de OT restante",""
"confirm delete ft","¿Está seguro de que desea borrar la forma: <FTICKID>?","¿Está seguro de que desea eliminar el formulario: <FTICKID>?"
"ft has been deleted","La forma: <FTICKID> ha sido eliminada.","El formulario: <FTICKID> ha sido eliminado."
"delete ft","Borrar FT","Eliminar FT"
"delete wo","Borrar OT","Eliminar OT"
"create invoice...","Crear factura...",""
"inv for","Facturas de",""
"preview","Vista previa",""
"hide preview","Ocultar vista previa",""
"must select at least 1 ft to inv","Debe seleccionar al menos una forma para facturar.","Debe seleccionar al menos un formulario para facturar."
"cust requires po and work missing req data really want to invoice","Este cliente requiere una orden de compra o núm. de requisición, y en 1 (o más) órdenes de trabajo faltan los datos requeridos. ¿Está seguro de que desea facturar a este cliente sin los datos requeridos?",""
"cust requires po and job missing req data really want to invoice","Este cliente requiere una orden de compra o número de pedido y a este trabajo le faltan los datos requeridos. ¿Está seguro de que desea facturar a este cliente sin los datos requeridos?","Este cliente requiere una orden de compra o número de pedido, y a este trabajo le faltan los datos requeridos. ¿Está seguro de que desea facturar a este cliente sin los datos requeridos?"
"invoice below minimum really want to invoice","Esta factura / trabajo tiene un precio inferior al cargo mínimo por trabajo de la lower(<LBLBRANCH>). ¿Está seguro de que desea facturar este trabajo por debajo del mínimo?",""
"creating preview...","Crear vista previa...",""
"fin tran locked before","De acuerdo con la configuración de la lower(<LBLBRANCH>), las transacciones financieras no están permitidas en o antes de <DATE>.",""
"ft has line item flagged taxable but no tax","La forma <FTICKID> tiene <CNT> partida(s) marcada(s) como gravable(s) pero no se ha cargado ningún impuesto. ¿Es esto correcto?","El formulario <FTICKID> tiene <CNT> partida(s) marcada(s) como tributable(s) pero no se ha cargado ningún impuesto. ¿Es esto correcto?"
"mark fts ready to inv","Formas señaladas listas para inv.","Formularios señalados listos para facturar"
"email - pdf","Correo electrónico - PDF",""
"email - link","Correo electrónico - Enlace",""
"email - link pdf","Correo electrónico - Enlace & PDF",""
"text - link","Texto - Enlace",""
"invoice only","Sólo factura","Solo factura"
"invoice and fts","Factura y forma","Factura y formulario"
"cnt invoices have been created","Se han creado factura(s) <CNT>.",""
"select fts","Seleccione formas","Seleccione formularios"
"view fts","Ver formas","Ver formularios"
"open customer","Cliente abierto",""
"send an email","Enviar un correo electrónico",""
"email cc","Cc",""
"subject","Asunto",""
"quick","Rápido",""
"email bcc","CCO",""
"needs repair","Necesita\nreparación",""
"engine hours","Horas del motor",""
"body","Cuerpo",""
"attach","Adjuntar",""
"remove","Eliminar",""
"no attachment found","No se han encontrado archivos adjuntos.",""
"external file","Archivo externo",""
"app quote","Cotización <APPABBR>",""
"app field ticket","Forma <APPABBR>","Formulario <APPABBR>"
"app invoice","Factura <APPABBR>",""
"app invoice & fts","Factura y Formas <APPABBR>","Factura y Formularios <APPABBR>"
"external photo","Foto externa",""
"must specify someone to send email to","Debe especificar a quién enviar el correo electrónico.",""
"subject cannot be blank","El asunto no puede estar vacío",""
"body cannot be blank","El cuerpo no puede estar vacío",""
"email sent","¡Correo electrónico enviado!",""
"quick email addresses","Direcciones de correo electrónico rápidas",""
"creating invoices...","Creación de facturas...",""
"job not selected to invoice","El trabajo no está seleccionado para facturar.",""
"this will release hold approval and flag ready to inv","Esto liberará la retención de aprobación para cada forma y las marcará como "Listas para facturar".","Esto liberará la retención de aprobación para cada formulario y las marcará como "Listas para facturar"."
"continue","Continuar",""
"insp already done","<COUNT> <TYPE> ya se han realizado inspecciones para este <TYPE> hoy (<DATE>). ¿Desea introducir otra?",""
"select ft to inv","Seleccionar formas para facturar","Seleccionar formularios para facturar"
"yes/continue","Sí/Continuar",""
"create inv with date of","Crear facturas con una fecha de facturación de: <DATE>",""
"veh insp req on date","Inspección vehicular requerida para <VEHNAME> en <DATE>",""
"must perform pretrip of veh before view wo","Debe realizar una inspección del vehículo:\n\n<VEHNAME>\n\nantes de poder ver el <TYPE>",""
"must perform pretrip of veh before setting status","Debe realizar una inspección del vehículo:\n\n<VEHNAME>\n\nantes de que pueda ingresar la hora en el <TYPE>",""
"enter inspection","Introducir inspección","Ingresar inspección"
"addl insp desc","Descripción adicional (opcional)",""
"invoice anyway","Facturar de todos modos",""
"must enter engine hours","Debe introducir las horas de motor actuales del equipo","Debe ingresar las horas de motor actuales del equipo"
"inspect","Inspeccionar",""
"search inv id job name cust job addr","Núm. Inv., Nombre/Dirección del trabajo, Cliente","Núm. Fac.., Nombre/Dirección del trabajo, Cliente"
"invoices","Facturas",""
"find insponly inv with bal today","Buscar Inv. de inspección con saldo","Buscar fac. de inspección con saldo"
"only inv with bal today","Sólo Inv. con saldo","Solo Fac. con saldo"
"sec settings no create inv preview only","Su configuración de seguridad no permite crear facturas. No podrá crear la factura.",""
"find invoices","Buscar facturas",""
"link expired","Este enlace ha caducado. Por favor, solicite un nuevo enlace.","Este enlace ha vencido. Solicite un nuevo enlace."
"link invalid","Este enlace no es válido.\n\nPor favor, vuelva al enlace original que se le envió e inténtelo de nuevo.","Este enlace no es válido.\n\nVuelva al enlace original que se le envió e inténtelo de nuevo."
"find insp","Buscar inspección",""
"email or text...","Correo electrónico o mensaje de texto…",""
"paid","Pagado",""
"balance","Balance","Saldo"
"pretrip deprecated","Pre-viaje (obsoleto)","Previaje (obsoleto)"
"manage insp","Gestionar las inspecciones",""
"insp def","Definir la inspección",""
"insp name","Nombre de la inspección",""
"categories","Categorías",""
"questions","Preguntas",""
"available at","Disponible en",""
"set disp order","Establecer orden de visualización \n",""
"manage insp cat","Gestionar la categoría de inspección",""
"answer type","Tipo de respuesta",""
"must enter name","Debe introducir el nombre","Debe ingresar el nombre"
"must pick ans type","Debe elegir el tipo de respuesta",""
"insp type","Tipo de insp.",""
"no req insp found","No se han encontrado inspecciones requeridas",""
"add users","Añadir usuarios","Agregar usuarios"
"define tasks","Definir tareas",""
"quick start","Inicio rápido",""
"getting started instruct","Siga los pasos a continuación para ponerse en marcha con los aspectos básicos de <APPNAME>.","Siga los siguientes pasos para ponerse en marcha con los aspectos básicos de <APPNAME>."
"getting started instruct 2","<APPNAME> es mucho más que lo básico, así que ¡no olvide seguir explorando después de haber dominado esto!","Hay mucho más en <APPNAME> que lo básico, ¡así que no olvide seguir explorando una vez que hayas dominado esto!"
"enter a customer","Introducir un cliente","Ingresar un cliente"
"add a job","Añadir un trabajo","Agregar un trabajo"
"click add on the next screen to add a new","Haga clic en + en la siguiente pantalla para añadir un nuevo <ITEM>.","Haga clic en + en la siguiente pantalla para agregar un nuevo <ITEM>."
"explore the scheduler","Explorar el programador",""
"check out help docs for more info","Consulte los <span class="text-hyperlinkblue pointer">documentos de ayuda</span> para obtener más información.",""
"manage insp quest","Gestionar la pregunta de inspección",""
"tech is req to answer","El técnico está obligado a responder",""
"include notes section","Incluir sección de notas",""
"set disp ordr","Establecer orden de visualización",""
"disp ordr instructions","Arrastre los elementos arriba/abajo para cambiar el orden de visualización",""
"please select type to reorder","Seleccione el tipo <TYPE> para cambiar el orden de visualización",""
"(none)","<NONE>",""
"count","Enumerar",""
"copy insp def","Copiar definición de inspección",""
"paste insp def","Pegar definición de inspección",""
"del insp cat","¿Está seguro de que desea eliminar esta categoría?",""
"del insp quest","¿Está seguro de que quiere borrar esta pregunta?","¿Está seguro de que quiere eliminar esta pregunta?"
"select at least 1 branch","Debe poner esta inspección a disposición de al menos 1 lower(<LBLBRANCH>) antes de poder guardarla.",""
"must enter 1 cat and 1 quest","Debe introducir al menos 1 categoría y 1 pregunta antes de guardar.",""
"must enter insp name and type","Debe introducir el nombre y el tipo de inspección.",""
"no categories found","No se han encontrado categorías",""
"no questions found","No se han encontrado preguntas",""
"avail at branches","Disponible en las <LBLBRANCHES>",""
"insp quest instructions","Defina su pregunta de inspección como desee. Por ejemplo, la 'Pregunta' podría ser su 'Plan de rescate revisado' y tener una categoría de 'Preparación del trabajo'.",""
"insp cat instructions","Defina su categoría de inspección como desee. Por ejemplo, la 'Categoría' podría ser 'Comprobar aceite del motor' y tener un tipo de respuesta de 'Sí, No, N/A' en las casillas.",""
"addl insp desc instruction","es decir, cuarto piso, elevador de tijera, ...",""
"not avail template mode","Esta acción no está disponible en el modo de plantilla",""
"leave","Salir",""
"stay","Permanecer",""
"new email","Nuevo correo electrónico",""
"manage plan","Plan de gestión",""
"plan","Plan",""
"must be system admin to proceed","Debe ser Administrador del Sistema para realizar esta acción",""
"manage account","Gestionar cuenta",""
"upgrade","Actualizar",""
"current","Actual",""
"upgrade to","Actualizar a",""
"already have all features","¡Muy bien! Ya tiene acceso a todas las funciones de <APPNAME>.",""
"compare features","Comparar características",""
"compare features 2","Comparar\nCaracterísticas",""
"for pricing click on compare feature or give us a call","Para precios o preguntas, haga clic en 'Comparar características' o llámenos",""
"app #","8014786822",""
"email for receipts","Enviar recibos por correo electrónico a",""
"must enter email for receipts","Debe introducir un correo electrónico para los recibos.","Debe ingresar un correo electrónico para los recibos."
"confirm app upgrade","Le esperan nuevas e increíbles funciones. Por favor, confirme:\n\n¿Actualizar  de: <CURVERSION>\na: <NEWVERSION>?",""
"send site contact","A los contactos del sitio - programados para <DATE>",""
"confirm send site contact sched set","¿Enviar mensaje de texto a los contactos del sitio para <OPTION> en <DATE>?",""
